interview_experiences,metadata.url,metadata.scraped_at,metadata.source,basic_info.title,basic_info.difficulty,basic_info.accuracy,basic_info.submissions,basic_info.avg_time,content.problem,complexity.time_complexity,complexity.space_complexity,tags.company_tags,tags.topic_tags
[],https://www.geeksforgeeks.org/problems/earliest-common-slot/1?page=1&company=PayPal&sortBy=latest,2025-06-11T12:32:47.868018,GeeksforGeeks,Earliest Common Slot,Medium,34.84%,624+,Not available,"You are given two lists of availability time slots, slots1 and slots2, for two people. Each slot is represented as [start, end], and it is gurranted that within each list, no two slots overlap (i.e., for any two intervals, either start1>end2 or start2>end1). Given a metting duration d, return the earliest common time slot of length of least d. If no such slot exits, return an empty array.
Examples:
Input: slots1 = [[10,50], [60,120], [140,210]], slots2 = [[0,15], [60,70]], d = 8
Output: [60,68]
Explanation: The only overlap is [60,70] (10 minutes), which is enough for an 8-minute meeting, so answer is [60,68]
Input: slots1 = [[10,50], [60,120], [140,210]], slots2 = [[0,15], [60,70]], d = 12
Output: []
Explanation: The only overlap is [60, 70] (10 minutes), but 12 minutes are needed, so no valid slot exists.
Constraints:
1 ≤ slots1.size(), slots2.size()  ≤ 105
-109 ≤ slots1[i], slots2[i] ≤ 109
1 ≤ d ≤ 106","O(max(n log(n), m log(m)))",O(1),"['Amazon', 'Microsoft', 'PayPal', 'Google', 'Uber']","['Sorting', 'two-pointer-algorithm', 'Arrays', 'Data Structures', 'Algorithms']"
[],https://www.geeksforgeeks.org/problems/reverse-an-array/1?page=1&company=PayPal&sortBy=latest,2025-06-11T12:32:58.316439,GeeksforGeeks,Reverse an Array,Easy,55.32%,189K+,5m,"You are given an array of integers arr[]. Your task is to reverse the given array.
Note: Modify the array in place.
Examples:
Input: arr = [1, 4, 3, 2, 6, 5]
Output: [5, 6, 2, 3, 4, 1]
Explanation: The elements of the array are 1 4 3 2 6 5. After reversing the array, the first element goes to the last position, the second element goes to the second last position and so on. Hence, the answer is 5 6 2 3 4 1.
Input: arr = [4, 5, 2]
Output: [2, 5, 4]
Explanation: The elements of the array are 4 5 2. The reversed array will be 2 5 4.
Input: arr = [1]
Output: [1]
Explanation: The array has only single element, hence the reversed array is same as the original.
Constraints:
1<=arr.size()<=105
0<=arr[i]<=105",O(n),O(1),"['Bloomberg', 'Facebook', 'TCS', 'Adobe', 'Google', 'Infosys', 'Capgemini', 'Morgan Stanley', 'Amazon', 'Microsoft', 'Apple', 'Yahoo', 'PayPal', 'Uber']","['Arrays', 'Data Structures']"
[],https://www.geeksforgeeks.org/problems/buy-stock-2/1?page=1&company=PayPal&sortBy=latest,2025-06-11T12:33:08.836733,GeeksforGeeks,Stock Buy and Sell – Max one Transaction Allowed,Easy,49.33%,92K+,10m,"Given an array prices[] of length n, representing the prices of the stocks on different days. The task is to find the maximum profit possible by buying and selling the stocks on different days when at most one transaction is allowed. Here one transaction means 1 buy + 1 Sell. If it is not possible to make a profit then return 0.
Note: Stock must be bought before being sold.
Examples:
Input: prices[] = [7, 10, 1, 3, 6, 9, 2]
Output: 8
Explanation: You can buy the stock on day 2 at price = 1 and sell it on day 5 at price = 9. Hence, the profit is 8.
Input: prices[] = [7, 6, 4, 3, 1]
Output: 0
Explanation: Here the prices are in decreasing order, hence if we buy any day then we cannot sell it at a greater price. Hence, the answer is 0.
Input: prices[] = [1, 3, 6, 9, 11]
Output: 10
Explanation: Since the array is sorted in increasing order, we can make maximum profit by buying at price[0] and selling at price[n-1].
Constraint:
1 <= prices.size()<= 105
0 <= prices[i] <=104",O(n),O(1),"['Bloomberg', 'Facebook', 'Intel', 'Infosys', 'Zoho', 'Morgan Stanley', 'Amazon', 'Microsoft', 'Samsung', 'Yahoo', 'PayPal', 'Nvidia', 'Oracle', 'Visa', 'Walmart', 'Goldman Sachs', 'TCS', 'Adobe', 'Google', 'IBM', 'Accenture', 'Apple', 'Uber']","['Greedy', 'Arrays']"
[],https://www.geeksforgeeks.org/problems/unique-frequencies-of-not/1?page=1&company=PayPal&sortBy=latest,2025-06-11T12:33:19.680205,GeeksforGeeks,Unique Number of Occurrences,Easy,57.68%,50K+,20m,"Given an array arr of N integers, the task is to check whether the frequency of the elements in the array is unique or not. Or in other words, there are no two distinct numbers in array with equal frequency. If all the frequency is unique then return true, else return false.
Example 1:
Input:
N = 5
arr = [1, 1, 2, 5, 5]
Output:
false
Explanation:
The array contains 2 (1’s), 1 (2’s) and 2 (5’s), since the number of frequency of 1 and 5 are the same i.e. 2 times. Therefore, this array does not satisfy the condition.
Example 2:
Input:
N = 10
arr = [2, 2, 5, 10, 1, 2, 10, 5, 10, 2]
Output:
true
Explanation:
Number of 1’s -> 1
Number of 2’s -> 4
Number of 5’s -> 2
Number of 10’s -> 3.
Since, the number of occurrences of elements present in the array is unique. Therefore, this array satisfy the condition.
Your task:
You don't need to read input or print anything. Your task is to complete the function isFrequencyUnique() which take integer N and array arr of size N as arguments, and returns a boolean.
Expected Time Complexity: O(N)
Expected Auxiliary Space: O(N)
Constraints:
1 <= N <=105
-109 <= arr[i] <= 109",Not specified,Not specified,"['PayPal', 'Bloomberg', 'Adobe', 'Google', 'Amazon', 'Apple']","['set', 'Sorting', 'Map']"
[],https://www.geeksforgeeks.org/problems/frogs-and-jumps--170647/1?page=1&company=PayPal&sortBy=latest,2025-06-11T12:33:30.270463,GeeksforGeeks,Frogs and Jumps,Easy,49.69%,58K+,Not available,"N frogs are positioned at one end of the pond. All frogs want to reach the other end of the pond as soon as possible. The pond has some leaves arranged in a straight line. Each frog has the strength to jump exactly K leaves. For example, a  frog having strength 2 will visit the leaves 2, 4, 6, ...  etc. while crossing the pond.
Given the strength of each frog and the number of leaves, your task is to find the number of leaves that not be visited by any of the frogs when all frogs have reached the other end of the pond.
Example 1:
Input:
N = 3
leaves = 4
frogs[] = {3, 2, 4}
Output: 1
Explanation:
Leaf 1 will not be visited by any frog.
Example 2:
Input:
N = 3
leaves = 6
frogs[] = {1, 3, 5}
Output: 0
Explanation:
First frog will visit all the leaves so no
leaf is left unvisited.
Your Task:
Complete the function unvisitedLeaves() which takes the integers N, leaves and the array frogs as the input parameters, and returns the number of unvisited leaves.
Expected Time Complexity: O(N*log(leaves))
Expected Auxiliary Space: O(leaves)
Constraints:
1 ≤ N, leaves, frogs[i] ≤ 105",Not specified,Not specified,['PayPal'],"['Arrays', 'sieve', 'Data Structures', 'Algorithms']"
[],https://www.geeksforgeeks.org/problems/hit-most-balloons--170637/1?page=1&company=PayPal&sortBy=latest,2025-06-11T12:33:53.236521,GeeksforGeeks,Hit most Balloons,Medium,39.48%,8K+,Not available,"You are given an infinite two-dimensional grid. There are N balloons placed at certain coordinates of the grid. You have an arrow with yourself, which you will be using to shoot the balloons. You can select any point on the grid as your starting point and any point on the grid as the target point. When you fire the arrow, all ballons lying on the shortest path between the starting point and target point will be burst. Given the coordinates of the N ballons in an array arr, your task is to find out the maximum number of balloons that you can fire in one arrow shot.
Example 1:
Input:
N = 3
arr[] = {{1, 2}, {2, 3}, {3, 4}}
Output:
3
Explanation:
If you position yourself at point (1,2)
and fire the arrow aiming at the point (3,4).
Then all the balloons will burst.
Example 2:
Input:
N = 3
arr[] = {{2,2}, {0,0}, {1,2}}
Output:
2
Explanation:
If you position yourself at point (2,2)
and fire the arrow aiming at the point (0,0).
Then the two balloons present at the two points
will burst.
Your Task:
Complete the function mostBalloons() which takes the integers N and the array arr as the input parameters, and returns the maximum number of balloons that can be burst using one arrow.
Expected Time Complexity: O(N2)
Expected Auxiliary Space: O(N)
Constraints:
1 ≤ N ≤ 103
-109 ≤ arr[i][j] ≤ 109",Not specified,Not specified,['PayPal'],"['Mathematical', 'Geometric', 'Algorithms']"
"[{'title': 'Paypal Interview Experience On Campus', 'url': 'https://www.geeksforgeeks.org/paypal-interview-experience-on-campus/', 'content_summary': ""Recently, I have been through the interview experience of PayPal India and I would like to share my experience with everyone.\nPosition: SDE- 1\nTotally there were four rounds 1 written + 2 technical + 1 HR\nRound1(Coding):\nAs this is the huge elimination round, not only the solution but also time and space complexity matters a lot.\nThis round is for 120 min and we have to solve 2 coding questions\n1. Number of pairs in an array whose sum is divisible by 60\n2.  Number of ways to place the house such that non-houses distances should be minimized\nRound2(Technical Interview):\nInitially, they started to tell me about yourself and they asked to share the screen for coding.\n1. They told me lets go in the bottom-up approach, so at first, they asked to write code for printing ASCII values of the string.\n2. They asked to extend the same to find the frequency of characters in a string\n3. They pasted two arrays and asked to generate a new array with elements that won't occur in both the arrays(The elements only in one array not in another)\n* you shouldn't use any data structure other than arrays( don't use hashmap, sets)\n* you should do in the linear time complexity\n(HINT: The given two arrays are already sorted )\n4. Given a linked list, you have to implement the three methods\nI) Detect the cycle in linked list\nII) Find first node of the linked list\nIII) Find length of loop in linked list\nAfter all the above, they asked some simple questions in DBMS and data structures\n1. what is the primary key?\n2. what is the difference between backtracking and dynamic programming?\n3. what is the difference between natural key and surrogate key?\n4. Approach for solving maze problem\nRound3(Technical Interview):\nInitially, they asked me to explain the approaches of the two problems I solved in the round1 entrance exam.\nThen they asked me to click on the hackerrank list to get the common workspace \n1. Infix to Postfix conversion\n2. They asked me to explain how google search works with abstract classes or UML diagrams\nBoth of the above took more than an hour\nRound4(HR):\nHe gave some scenario-based question and asked to explain the approach and code the logic followed by a few HR questions like\n1. what are your aspirations in life?\n2. Have you ever been in a respectable position?\nFinally, They gave 5 offers to my campus(4 FTE + 1 INT) and I was one of those 4 FTE.\n\nComment\nMore info\nAdvertise with us\nNext Article\nPaypal Interview Experience (On-Campus )""}]",https://www.geeksforgeeks.org/problems/count-pairs-in-array-divisible-by-k/1?page=1&company=PayPal&sortBy=latest,2025-06-11T12:34:16.361528,GeeksforGeeks,Count pairs in array divisible by K,Medium,40.47%,27K+,Not available,"Given an array arr[] and positive integer k, the task is to count total number of pairs in the array whose sum is divisible by k.
Examples:
Input : arr[] = {2, 2, 1, 7, 5, 3}, k = 4
Output : 5
Explanation : There are five pairs possible whose sum is divisible by '4' i.e., (2, 2), (1, 7), (7, 5), (1, 3) and (5, 3)
Input : arr[] = {5, 9, 36, 74, 52, 31, 42}, k = 3
Output : 7
Explanation : There are seven pairs whose sum is divisible by 3, i.e, (9, 36), (9,42), (74, 52), (36, 42), (74, 31), (31, 5) and (5, 52).
Your task :
You don't have to read input or print anything. Your task is to complete the function countKdivPairs() which takes the array, it's size and an integer K as input and returns the count of pairs whose sum is divisible by k.
Expected Time Complexity : O(n)
Expected Auxiliary Space : O(k)
Constraints :
1 <= n <=10^6
1 <= arr[i] <= 10^6
1 <= k <= 100",Not specified,Not specified,['PayPal'],"['Arrays', 'Hash', 'Data Structures']"
[],https://www.geeksforgeeks.org/problems/concatenation-of-zig-zag-string-in-n-rows0308/1?page=1&company=PayPal&sortBy=latest,2025-06-11T12:34:30.751181,GeeksforGeeks,Concatenation of Zig-Zag String in n Rows,Medium,32.92%,15K+,Not available,"Given a string and number of rows ‘n’. Print the string formed by concatenating n rows when the input string is written in row-wise Zig-Zag fashion.
Example 1:
Input:
str = ""ABCDEFGH""
n = 2
Output: ""ACEGBDFH""
Explanation:
Let us write input string in
Zig-Zag fashion in 2 rows.
A C E G
B D F H
Now concatenate the two rows and ignore
spaces in every row. We get ""ACEGBDFH""
Example 2:
Input:
str = ""GEEKSFORGEEKS""
n = 3
Output: GSGSEKFREKEOE
Explanation:
Let us write input string in
Zig-Zag fashion in 3 rows.
G S G S
E K F R E K
E O E
Now concatenate the two rows and ignore spaces
in every row. We get ""GSGSEKFREKEOE""
Your Task:
You need not read input or print anything. Your task is to complete the function convert() which takes 2 arguments(string str, integer n) and returns the resultant string.
Expected Time Complexity: O(|str|).
Expected Auxiliary Space: O(|str|).
Constraints:
1 ≤ N ≤ 105",Not specified,Not specified,['PayPal'],"['Strings', 'Data Structures']"
[],https://www.geeksforgeeks.org/problems/intersection-of-two-arrays2404/1?page=1&company=PayPal&sortBy=latest,2025-06-11T12:34:41.651593,GeeksforGeeks,Intersection of Arrays with Distinct,Easy,32.83%,223K+,20m,"Given two unsorted integer arrays a[] and b[] each consisting of distinct elements, the task is to return the count of elements in the intersection (or common elements) of the two arrays.
Intersection of two arrays can be defined as the set containing distinct common elements between the two arrays.
Examples:
Input: a[] = [89, 24, 75, 11, 23], b[] = [89, 2, 4]
Output: 1
Explanation: 89 is the only element in the intersection of two arrays.
Input: a[] = [1, 2, 4, 3, 5, 6], b[] = [3, 4, 5, 6, 7]
Output: 4
Explanation: 3, 4, 5, and 6 are the elements in the intersection of two arrays.
Input: a[] = [20, 10, 30, 50, 40], b[] = [15, 25, 30, 20, 35]
Output: 2
Explanation: 20 and 30 are the elements in the intersection of the two arrays.
Constraints:
1  ≤  a.size(), b.size() ≤  105
1  ≤  a[i], b[i]  ≤  105",O(n + m),O(n),"['Accolite', 'Amazon', 'Microsoft', 'PayPal', 'Rockstand']","['two-pointer-algorithm', 'Arrays', 'Hash', 'Data Structures', 'Algorithms']"
"[{'title': 'Ola Interview Experience Set 8 For Sde 2', 'url': 'https://www.geeksforgeeks.org/ola-interview-experience-set-8-for-sde-2/', 'content_summary': 'Design Round: 1. Design LRU cache and implement 2. Solving sudoko 3. Design to replace the existing Support tab navigation based to search based in OLA app. Machine round: Design and implement a sender and receiver system where there can be multiple senders and receivers subscribed to Topics. Each event generated at sender should be received by all receivers subscribed to that topic. Bonus if you can implement group mechanism at receiver side where event is received by one of the receiver in group and received by all groups subscribed to that Topic. (like kafka) Managerial Round: 1. In Depth discussion on projects worked on, flow of entire system of my component. Be confident as u r the boss of ur work. 2. Briefed about the job role and team. 3. Few personal questions like hobbies\nRelated Practice Problems\nSolve the Sudoku\nAll Practice Problems for Ola-Cabs !\n\nComment\nMore info\nCampus Training Program\nNext Article\nOLA Interview Experience | Set 8 (For SDE-2)'}]",https://www.geeksforgeeks.org/problems/solve-the-sudoku-1587115621/1?page=1&company=PayPal&sortBy=latest,2025-06-11T12:35:14.349511,GeeksforGeeks,Solve the Sudoku,Hard,37.98%,120K+,60m,"Given an incomplete Sudoku configuration in terms of a 9x9  2-D interger square matrix, mat[][], the task is to solve the Sudoku. It is guaranteed that the input Sudoku will have exactly one solution.
A sudoku solution must satisfy all of the following rules:
Each of the digits 1-9 must occur exactly once in each row.
Each of the digits 1-9 must occur exactly once in each column.
Each of the digits 1-9 must occur exactly once in each of the 9 3x3 sub-boxes of the grid.
Note: Zeros represent blanks to be filled with numbers 1-9, while non-zero cells are fixed and cannot be changed.
Examples:
Input: mat[][] =
Output:
Explanation: Each row, column and 3 x 3 box of the output matrix contains unique numbers.
Input: mat[][] =
Output:
Explanation: Each row, column and 3 x 3 box of the output matrix contains unique numbers.
Constraints:
mat.size() = 9
mat[i].size() = 9
0 ≤ mat[i][j] ≤ 9",O(9 ^ (n * n)),O(n),"['Zoho', 'Flipkart', 'Amazon', 'Microsoft', 'MakeMyTrip', 'Ola Cabs', 'Oracle', 'MAQ Software', 'Directi', 'PayPal', 'Samsung']","['Matrix', 'Backtracking', 'Data Structures', 'Algorithms']"
